,Restaurant_id,Ranking,Rating,Number_of_Reviews,Cuisine_Style_Number,Price_Range_Number,another_rest_city_number,review_len,Time_delta,Vegetarian Friendly,European,Mediterranean,Italian,Vegan Options,Gluten Free Options,Bar,French,Asian,Population,purchasing_power,Population_Per_Restaurant
33,id_2434,2435.0,3.0,4.0,1,1.8140461055372596,892,8,150,0,0,0,0,0,0,0,0,0,516092,70,578.5784753363229
34,id_2427,2428.0,4.5,69.0,2,1.0,2078,99,194,0,0,0,1,0,0,0,0,0,2860009,37,1376.327718960539
35,id_2045,2047.0,4.5,20.0,4,2.0,3108,8,150,0,0,0,1,0,0,0,0,0,3223334,23,1037.1087516087516
36,id_5842,5845.0,3.0,104.0,1,2.0,2133,52,489,0,0,0,1,0,0,0,0,0,1399860,40,656.2869198312236
37,id_5209,5210.0,5.0,2.0,3,2.0,2078,8,150,0,0,0,0,0,0,0,0,1,2860009,37,1376.327718960539
38,id_11291,11293.0,4.5,10.0,1,2.0,4897,67,150,0,0,0,0,0,0,0,1,0,2148271,22,438.6912395344088
39,id_3131,3133.0,4.0,7.0,1,1.8140461055372596,2133,50,150,0,0,0,0,0,0,0,0,0,1399860,40,656.2869198312236
40,id_2711,2713.0,4.5,9.0,4,1.0,3108,8,150,0,0,1,0,0,0,1,0,0,3223334,23,1037.1087516087516
41,id_5459,5460.0,3.5,132.0,3,2.0,4897,130,81,1,0,0,0,0,0,0,0,1,2148271,22,438.6912395344088
42,id_164,165.0,4.5,73.0,5,2.0,949,70,100,1,0,0,0,1,1,0,0,0,1845229,7,1944.3930453108535
43,id_9924,9926.0,3.5,39.0,1,1.0,4897,59,-299,0,0,0,0,0,0,0,0,0,2148271,22,438.6912395344088
44,id_2192,2195.0,4.0,7.0,1,1.8140461055372596,1300,8,150,0,0,0,0,0,0,0,0,0,505526,48,388.86615384615385
45,id_11945,11955.0,4.0,3.0,1,1.8140461055372596,5757,80,164,0,0,0,0,0,0,0,0,0,8909081,24,1547.5214521452144
46,id_8460,8467.0,2.0,4.0,1,1.8140461055372596,3108,8,150,0,0,0,1,0,0,0,0,0,3223334,23,1037.1087516087516
47,id_75,76.0,4.0,484.0,5,2.0,1060,76,1,1,1,0,0,1,1,0,0,0,1208542,15,1140.133962264151
48,id_2098,2099.0,4.0,41.0,4,1.0,2734,123,-180,1,0,1,0,0,0,0,0,0,1620343,30,592.6638624725676
49,id_1048,1049.0,4.5,281.0,3,3.0,4897,92,32,1,1,0,0,0,0,0,1,0,2148271,22,438.6912395344088
50,id_1907,1912.0,2.5,9.0,2,1.8140461055372596,659,112,25,0,0,0,0,0,0,0,0,0,794128,10,1205.050075872534
51,id_10142,10151.0,4.0,5.0,1,1.8140461055372596,5757,108,82,0,0,0,0,0,0,0,0,0,8909081,24,1547.5214521452144
52,id_9231,9233.0,4.0,25.0,2,1.8140461055372596,4897,8,150,0,0,0,0,0,0,0,1,0,2148271,22,438.6912395344088
53,id_279,280.0,4.0,257.0,6,2.0,673,70,51,1,1,0,1,1,1,0,0,0,554554,27,824.0029717682021
54,id_155,156.0,4.5,482.0,7,2.0,1086,78,0,1,1,0,0,0,0,0,0,0,872680,19,803.572744014733
55,id_2622,2628.0,4.5,4.0,1,1.0,1443,53,150,0,0,0,0,0,0,0,0,0,1324277,31,917.7248787248787
56,id_1585,1586.0,4.0,25.0,1,2.0,892,67,150,0,0,0,1,0,0,0,0,0,516092,70,578.5784753363229
57,id_5510,5513.0,4.5,6.0,1,1.8140461055372596,3108,41,150,0,0,0,0,0,0,0,0,0,3223334,23,1037.1087516087516
58,id_547,548.0,4.0,554.0,3,2.0,2133,88,66,1,0,0,0,0,0,0,0,0,1399860,40,656.2869198312236
59,id_10032,10034.0,4.5,2.0,1,1.8140461055372596,4897,8,150,0,0,0,0,0,0,0,0,0,2148271,22,438.6912395344088
60,id_8755,8764.0,4.5,4.0,1,1.8140461055372596,5757,68,88,0,0,0,0,0,0,0,0,0,8909081,24,1547.5214521452144
61,id_1620,1622.0,4.0,2.0,1,1.8140461055372596,727,8,150,0,0,0,0,0,0,0,0,0,1793579,29,2467.0962861072903
62,id_3662,3663.0,4.0,26.0,1,1.0,2734,50,106,0,0,0,0,0,0,0,0,0,1620343,30,592.6638624725676
63,id_150,151.0,4.5,1317.0,3,1.0,816,55,0,1,0,1,0,0,0,0,0,0,1752286,51,2147.4093137254904
64,id_52,53.0,4.5,1820.0,6,2.0,673,75,4,1,1,0,0,0,1,0,0,0,554554,27,824.0029717682021
65,id_1981,1982.0,3.5,8.0,1,1.8140461055372596,816,103,357,0,0,0,0,0,0,0,0,0,1752286,51,2147.4093137254904
66,id_533,534.0,4.0,1060.0,5,3.0,2734,94,51,1,0,0,0,0,1,0,0,1,1620343,30,592.6638624725676
67,id_2068,2069.0,4.0,112.0,3,2.0,2734,86,11,0,0,1,0,0,0,0,0,0,1620343,30,592.6638624725676
68,id_8648,8650.0,4.5,3.0,1,1.8140461055372596,4897,8,150,0,0,0,0,0,0,0,0,0,2148271,22,438.6912395344088
69,id_2273,2274.0,4.0,157.0,2,2.0,4897,79,193,0,0,0,0,0,0,0,0,1,2148271,22,438.6912395344088
70,id_643,644.0,4.0,19.0,2,1.0,385,84,698,0,0,0,1,0,0,0,0,0,697549,17,1811.8155844155845
71,id_851,855.0,4.5,12.0,2,1.0,538,67,150,0,1,0,0,0,0,0,0,0,415215,2,771.7750929368029
72,id_793,794.0,5.0,8.0,3,2.0,673,100,1,0,1,0,0,0,0,0,1,0,554554,27,824.0029717682021
73,id_6029,6032.0,2.5,2.0,1,1.8140461055372596,2133,8,150,0,0,0,0,0,0,0,0,0,1399860,40,656.2869198312236
74,id_7122,7131.0,4.0,79.0,2,2.0,5757,113,256,0,0,0,0,0,0,1,0,0,8909081,24,1547.5214521452144
75,id_1247,1250.0,5.0,3.0,1,1.8140461055372596,673,70,35,0,0,0,0,0,0,0,0,0,554554,27,824.0029717682021
76,id_887,888.0,4.5,66.0,6,2.0,1300,85,12,1,1,1,0,0,0,0,0,0,505526,48,388.86615384615385
77,id_773,775.0,4.0,138.0,4,2.0,1086,61,99,1,1,0,1,0,1,0,0,0,872680,19,803.572744014733
78,id_6025,6028.0,3.5,20.0,2,1.0,3108,47,150,0,0,0,0,0,0,0,0,0,3223334,23,1037.1087516087516
79,id_35,36.0,4.5,2340.0,8,2.0,816,94,5,1,1,1,0,1,1,0,0,0,1752286,51,2147.4093137254904
80,id_13815,13825.0,3.5,28.0,5,1.0,5757,123,75,1,0,0,0,0,0,0,0,0,8909081,24,1547.5214521452144
81,id_1012,1013.0,3.0,19.0,3,1.8140461055372596,376,83,373,0,0,0,0,0,0,0,0,1,656229,9,1745.2898936170213
82,id_361,362.0,4.5,288.0,6,2.0,2078,93,1,1,0,1,1,0,0,0,0,0,2860009,37,1376.327718960539
83,id_3670,3672.0,4.5,10.0,1,2.0,2155,93,140,0,0,0,0,0,0,0,0,0,3769495,8,1749.185614849188
84,id_2171,2173.0,3.5,130.0,6,2.0,2155,71,52,1,1,1,1,0,0,0,0,0,3769495,8,1749.185614849188
85,id_1461,1463.0,3.5,283.0,5,1.0,2133,72,423,1,0,0,0,0,0,0,0,0,1399860,40,656.2869198312236
86,id_1482,1485.0,5.0,12.0,1,1.8140461055372596,1086,90,65,0,0,0,0,0,0,0,0,0,872680,19,803.572744014733
87,id_1365,1370.0,3.5,25.0,1,2.0,538,105,445,0,0,0,1,0,0,0,0,0,415215,2,771.7750929368029
88,id_8,9.0,4.5,956.0,5,2.0,385,106,9,1,0,0,0,1,1,0,0,1,697549,17,1811.8155844155845
89,id_1018,1019.0,4.5,45.0,1,1.8140461055372596,1060,94,56,0,0,0,0,0,0,0,0,0,1208542,15,1140.133962264151
90,id_499,500.0,4.5,45.0,1,1.8140461055372596,892,53,150,0,0,0,0,0,0,0,0,0,516092,70,578.5784753363229
91,id_1466,1467.0,4.0,21.0,2,2.0,1166,61,94,0,0,0,0,0,0,0,0,0,2600000,21,2229.8456260720413
92,id_7814,7823.0,4.0,21.0,2,2.0,5757,71,79,0,0,0,0,0,0,0,0,0,8909081,24,1547.5214521452144
93,id_689,690.0,4.5,29.0,4,2.0,1166,108,136,0,0,0,0,0,0,0,0,0,2600000,21,2229.8456260720413
94,id_1721,1728.0,2.0,26.0,2,2.0,596,100,100,0,0,0,0,0,0,1,0,0,488050,16,818.8758389261745
95,id_3703,3704.0,3.5,1135.0,3,2.0,4897,111,17,0,1,0,0,0,0,0,1,0,2148271,22,438.6912395344088
96,id_3412,3419.0,3.5,27.0,1,1.8140461055372596,1443,89,124,0,0,0,0,0,0,0,0,0,1324277,31,917.7248787248787
97,id_538,542.0,4.5,59.0,3,1.0,893,81,145,1,0,0,0,0,0,0,0,0,1484226,6,1662.06718924972
98,id_1435,1447.0,4.0,21.0,2,1.0,893,73,248,0,0,0,1,0,0,0,0,0,1484226,6,1662.06718924972
99,id_1837,1842.0,4.5,17.0,1,2.0,1086,61,189,0,0,0,0,0,0,0,0,0,872680,19,803.572744014733
100,id_2904,2906.0,3.5,3.0,1,1.8140461055372596,1166,8,150,0,0,0,1,0,0,0,0,0,2600000,21,2229.8456260720413
101,id_2040,2042.0,3.5,339.0,3,2.0,3108,80,129,1,0,1,0,0,0,0,0,0,3223334,23,1037.1087516087516
102,id_1409,1410.0,5.0,159.1068090787717,3,1.8140461055372596,816,8,150,0,1,0,0,0,0,0,1,0,1752286,51,2147.4093137254904
103,id_197,198.0,4.0,370.0,2,2.0,892,88,84,0,1,0,0,0,0,0,1,0,516092,70,578.5784753363229
104,id_3341,3345.0,3.5,3.0,2,1.8140461055372596,1300,8,150,0,1,0,0,0,0,0,0,0,505526,48,388.86615384615385
105,id_1940,1941.0,3.0,354.0,3,2.0,892,78,33,0,1,0,0,0,0,0,1,0,516092,70,578.5784753363229
106,id_2926,2928.0,4.0,28.0,1,1.8140461055372596,2133,67,664,0,0,0,0,0,0,0,0,0,1399860,40,656.2869198312236
107,id_8240,8247.0,2.5,25.0,1,1.8140461055372596,3108,84,22,0,0,0,0,0,0,0,0,0,3223334,23,1037.1087516087516
108,id_2047,2050.0,5.0,124.02886115444618,2,2.0,1443,8,150,0,0,1,1,0,0,0,0,0,1324277,31,917.7248787248787
109,id_4591,4593.0,4.0,29.0,1,2.0,2155,130,445,0,0,0,0,0,0,0,0,0,3769495,8,1749.185614849188
110,id_4278,4281.0,3.5,83.0,1,1.0,2133,87,288,0,0,0,0,0,0,0,0,0,1399860,40,656.2869198312236
111,id_5296,5298.0,4.0,9.0,1,1.8140461055372596,2078,8,150,0,0,0,1,0,0,0,0,0,2860009,37,1376.327718960539
112,id_5,6.0,4.5,1222.0,5,2.0,481,110,3,1,1,0,0,0,1,0,1,0,201818,3,419.58004158004155
113,id_6011,6014.0,3.5,48.0,2,2.0,3108,78,1086,0,0,0,1,0,0,0,0,0,3223334,23,1037.1087516087516
114,id_678,679.0,4.5,95.0,3,2.0,3108,97,112,1,0,0,0,1,0,0,0,0,3223334,23,1037.1087516087516
115,id_886,888.0,1.0,3.0,1,1.8140461055372596,301,8,150,0,0,0,0,0,0,0,0,0,437726,39,1454.2392026578073
116,id_4633,4634.0,4.0,62.0,3,1.0,4897,115,120,0,0,0,0,0,0,0,0,0,2148271,22,438.6912395344088
117,id_3436,3437.0,4.0,26.0,1,1.0,2734,93,80,0,0,0,1,0,0,0,0,0,1620343,30,592.6638624725676
118,id_1508,1490.0,5.0,2.0,1,1.8140461055372596,892,8,150,0,0,0,0,0,0,0,0,0,516092,70,578.5784753363229
119,id_11602,11612.0,4.0,16.0,1,1.8140461055372596,5757,98,21,0,0,0,0,0,0,0,0,0,8909081,24,1547.5214521452144
120,id_2769,2771.0,3.5,346.0,5,2.0,2133,99,18,1,1,1,1,0,0,0,0,0,1399860,40,656.2869198312236
121,id_4116,4119.0,3.5,30.0,1,1.8140461055372596,2133,8,150,0,0,0,0,0,0,0,0,0,1399860,40,656.2869198312236
122,id_198,200.0,4.0,211.0,4,3.0,538,85,98,1,1,1,1,0,0,0,0,0,415215,2,771.7750929368029
123,id_3015,3016.0,3.0,1012.0,6,2.0,2078,66,308,1,1,1,1,0,1,0,0,0,2860009,37,1376.327718960539
124,id_1655,1657.0,5.0,11.0,3,3.0,3108,59,0,0,0,0,0,0,0,0,0,1,3223334,23,1037.1087516087516
125,id_2858,2863.0,4.0,459.0,4,2.0,5757,103,41,1,0,1,1,0,1,0,0,0,8909081,24,1547.5214521452144
126,id_2423,2424.0,3.5,481.0,6,2.0,2078,86,40,1,1,1,1,0,0,0,0,0,2860009,37,1376.327718960539
127,id_10343,10345.0,3.5,6.0,1,1.8140461055372596,4897,8,150,0,0,0,0,0,0,0,0,0,2148271,22,438.6912395344088
128,id_8449,8456.0,2.5,566.0,3,2.0,3108,91,48,0,1,1,0,0,0,0,0,0,3223334,23,1037.1087516087516
129,id_9009,9011.0,4.5,2.0,1,1.8140461055372596,4897,8,150,0,0,0,0,0,0,0,0,0,2148271,22,438.6912395344088
130,id_1251,1252.0,4.5,15.0,1,1.0,596,71,8,0,0,0,0,0,0,0,0,0,488050,16,818.8758389261745
131,id_7472,7473.0,4.0,28.0,1,1.0,4897,105,204,0,0,0,0,0,0,0,0,0,2148271,22,438.6912395344088
132,id_6583,6592.0,4.5,29.0,2,1.0,5757,102,25,0,0,0,0,0,0,0,0,0,8909081,24,1547.5214521452144
133,id_873,874.0,3.0,3.0,1,1.8140461055372596,301,42,150,0,0,0,0,0,0,0,0,0,437726,39,1454.2392026578073
134,id_270,271.0,4.0,85.0,7,2.0,727,63,43,1,1,0,0,0,0,1,0,0,1793579,29,2467.0962861072903
135,id_237,238.0,4.5,154.0,4,2.0,820,108,147,1,0,0,0,0,1,0,0,0,975904,13,1190.1268292682928
136,id_4653,4656.0,4.0,18.0,1,1.0,3108,95,169,0,0,0,0,0,0,0,0,0,3223334,23,1037.1087516087516
137,id_820,821.0,5.0,134.0,3,1.0,2078,60,739,1,0,0,1,0,0,0,0,0,2860009,37,1376.327718960539
138,id_1722,1725.0,4.0,3.0,3,2.0,949,8,150,0,0,0,0,0,0,0,0,1,1845229,7,1944.3930453108535
139,id_86,87.0,4.5,1256.0,8,2.0,816,112,3,1,1,0,0,0,1,0,0,0,1752286,51,2147.4093137254904
140,id_2044,2045.0,4.5,89.0,2,2.0,2734,83,139,0,0,1,1,0,0,0,0,0,1620343,30,592.6638624725676
141,id_4157,4158.0,4.0,182.0,1,2.0,2078,88,128,0,0,0,1,0,0,0,0,0,2860009,37,1376.327718960539
142,id_14612,14623.0,3.0,39.0,1,1.8140461055372596,5757,116,-225,0,0,0,0,0,0,0,0,0,8909081,24,1547.5214521452144
143,id_5080,5081.0,3.5,32.0,2,3.0,2734,8,150,0,0,0,1,0,0,0,0,0,1620343,30,592.6638624725676
144,id_4505,4506.0,4.0,57.0,1,1.8140461055372596,4897,104,257,0,0,0,0,0,0,0,0,0,2148271,22,438.6912395344088
145,id_8121,8128.0,2.5,1768.0,3,2.0,3108,80,8,0,0,1,0,0,0,1,0,0,3223334,23,1037.1087516087516
146,id_4429,4436.0,4.5,19.0,4,2.0,5757,97,46,1,0,0,0,0,0,0,0,1,8909081,24,1547.5214521452144
147,id_4110,4112.0,5.0,2.0,1,1.8140461055372596,3108,8,150,0,0,0,0,0,0,0,0,0,3223334,23,1037.1087516087516
148,id_746,747.0,4.5,42.0,2,2.0,1300,118,121,1,1,0,0,0,0,0,0,0,505526,48,388.86615384615385
149,id_229,230.0,4.0,47.0,6,2.0,376,106,0,1,1,0,0,0,1,1,0,0,656229,9,1745.2898936170213
150,id_810,811.0,4.5,79.0,5,1.0,3108,89,18,1,0,0,0,0,0,0,0,0,3223334,23,1037.1087516087516
151,id_14996,15007.0,3.0,85.0,3,2.0,5757,65,70,0,1,0,0,0,0,1,0,0,8909081,24,1547.5214521452144
152,id_5206,5207.0,4.5,7.0,1,1.8140461055372596,2734,8,150,0,0,0,0,0,0,0,0,0,1620343,30,592.6638624725676
153,id_4519,4527.0,3.5,1352.0,3,2.0,5757,103,6,1,0,0,0,0,0,0,0,1,8909081,24,1547.5214521452144
154,id_252,253.0,4.0,10.0,1,1.8140461055372596,301,74,188,0,0,0,0,0,0,0,0,0,437726,39,1454.2392026578073
155,id_8993,8995.0,4.5,9.0,2,1.8140461055372596,4897,8,150,0,0,0,0,0,0,0,0,1,2148271,22,438.6912395344088
156,id_1280,1281.0,4.5,2.0,1,1.8140461055372596,820,47,150,0,0,0,0,0,0,0,0,0,975904,13,1190.1268292682928
157,id_770,771.0,5.0,3.0,5,1.0,513,43,150,0,0,0,0,0,0,0,0,0,287591,42,560.6062378167642
158,id_2458,2464.0,4.5,12.0,2,2.0,1086,89,9,0,0,0,0,0,0,0,0,0,872680,19,803.572744014733
159,id_719,720.0,4.0,175.0,3,2.0,2155,121,36,1,0,0,0,0,0,0,1,0,3769495,8,1749.185614849188
160,id_1945,1947.0,4.0,5.0,1,1.8140461055372596,1166,93,32,0,0,0,0,0,0,0,0,0,2600000,21,2229.8456260720413
161,id_3501,3503.0,5.0,2.0,3,1.8140461055372596,2155,8,150,0,0,0,0,0,0,0,1,0,3769495,8,1749.185614849188
162,id_1141,1143.0,4.5,28.0,3,2.0,2133,67,49,1,0,0,0,1,0,0,0,0,1399860,40,656.2869198312236
163,id_318,319.0,4.5,88.0,5,2.0,659,105,46,1,1,0,0,1,1,0,0,0,794128,10,1205.050075872534
164,id_1370,1381.0,5.0,3.0,1,1.8140461055372596,1060,8,150,0,0,0,0,0,0,0,0,0,1208542,15,1140.133962264151
165,id_697,698.0,4.5,68.0,3,2.0,1443,115,8,0,1,0,0,0,0,0,0,0,1324277,31,917.7248787248787
166,id_211,212.0,4.5,773.0,3,2.0,2734,72,0,1,0,0,0,0,0,0,0,0,1620343,30,592.6638624725676
167,id_8305,8306.0,5.0,120.14637277979884,1,1.8140461055372596,4897,8,150,0,0,0,0,0,0,0,0,0,2148271,22,438.6912395344088
168,id_1539,1540.0,4.5,4.0,2,2.0,1060,110,11,0,1,0,1,0,0,0,0,0,1208542,15,1140.133962264151
169,id_11299,11301.0,4.0,7.0,1,1.8140461055372596,4897,65,294,0,0,0,0,0,0,0,0,0,2148271,22,438.6912395344088
170,id_249,250.0,3.5,101.0,5,2.0,183,127,63,1,1,1,0,0,0,0,0,0,295504,32,1614.775956284153
171,id_1976,1977.0,4.0,345.0,2,2.0,4897,120,59,0,1,0,0,0,0,0,1,0,2148271,22,438.6912395344088
172,id_3233,3234.0,3.5,209.0,3,2.0,2078,69,235,0,0,1,1,0,1,0,0,0,2860009,37,1376.327718960539
173,id_3803,3810.0,4.5,25.0,5,1.0,5757,69,48,1,0,0,0,1,0,1,0,0,8909081,24,1547.5214521452144
174,id_2044,2045.0,3.5,5.0,1,1.8140461055372596,816,8,150,0,0,0,1,0,0,0,0,0,1752286,51,2147.4093137254904
175,id_4073,4074.0,3.5,26.0,1,2.0,2734,8,150,0,0,1,0,0,0,0,0,0,1620343,30,592.6638624725676
176,id_1856,1859.0,3.5,4.0,2,1.8140461055372596,949,36,150,0,0,0,0,0,0,0,0,0,1845229,7,1944.3930453108535
177,id_13850,13860.0,3.5,32.0,4,2.0,5757,63,-214,1,0,0,1,1,0,0,0,0,8909081,24,1547.5214521452144
178,id_1773,1778.0,4.5,11.0,1,1.0,1086,62,324,0,0,0,0,0,0,0,0,0,872680,19,803.572744014733
179,id_482,483.0,4.0,36.0,3,2.0,385,115,340,0,0,0,0,0,0,0,0,0,697549,17,1811.8155844155845
180,id_5023,5025.0,4.0,66.5228088159918,1,1.8140461055372596,2155,52,150,0,0,0,0,0,0,0,0,0,3769495,8,1749.185614849188
181,id_3552,3556.0,2.5,19.0,1,1.8140461055372596,1300,74,-180,0,0,0,0,0,0,0,0,0,505526,48,388.86615384615385
182,id_13563,13573.0,3.5,6.0,1,1.0,5757,71,27,0,0,0,0,0,0,0,0,0,8909081,24,1547.5214521452144
183,id_3566,3568.0,5.0,66.5228088159918,1,1.8140461055372596,2155,67,150,0,0,0,1,0,0,0,0,0,3769495,8,1749.185614849188
184,id_10665,10675.0,4.0,7.0,1,1.8140461055372596,5757,66,24,0,0,0,0,0,0,0,0,0,8909081,24,1547.5214521452144
185,id_2660,2662.0,4.0,39.0,1,1.8140461055372596,3108,32,150,0,0,0,0,0,0,0,0,0,3223334,23,1037.1087516087516
186,id_2681,2684.0,4.0,5.0,1,1.8140461055372596,1300,45,150,0,0,0,0,0,0,0,0,0,505526,48,388.86615384615385
187,id_2847,2850.0,4.0,126.50617283950618,1,1.8140461055372596,1300,67,150,0,0,0,0,0,0,0,0,0,505526,48,388.86615384615385
188,id_3053,3054.0,4.0,177.0,3,2.0,2078,105,9,0,1,1,1,0,0,0,0,0,2860009,37,1376.327718960539
189,id_2137,2140.0,5.0,2.0,2,1.8140461055372596,1300,8,150,0,1,0,0,0,0,0,0,0,505526,48,388.86615384615385
190,id_529,530.0,4.5,233.0,7,2.0,2133,78,77,1,0,1,1,1,0,0,0,0,1399860,40,656.2869198312236
191,id_412,413.0,4.0,486.0,6,2.0,2078,84,3,1,0,0,0,1,1,0,0,1,2860009,37,1376.327718960539
192,id_1151,1153.0,4.5,143.0,1,1.8140461055372596,2133,62,34,0,0,0,0,0,0,0,0,0,1399860,40,656.2869198312236
193,id_8,9.0,4.5,816.0,5,2.0,183,95,2,1,1,0,0,1,1,0,0,0,295504,32,1614.775956284153
194,id_7672,7673.0,4.0,65.0,3,2.0,4897,76,-145,0,0,0,0,0,0,0,0,1,2148271,22,438.6912395344088
195,id_1524,1526.0,3.5,3.0,4,1.8140461055372596,628,41,150,0,0,0,0,0,0,0,0,0,664046,53,1057.3980891719746
196,id_984,986.0,4.0,928.0,6,3.0,5757,74,4,1,1,1,1,1,1,0,0,0,8909081,24,1547.5214521452144
197,id_636,637.0,4.0,23.0,3,2.0,949,105,-289,1,0,0,0,0,0,0,0,0,1845229,7,1944.3930453108535
198,id_2491,2492.0,4.0,69.0,1,1.0,2078,78,46,0,0,0,1,0,0,0,0,0,2860009,37,1376.327718960539
199,id_16034,16046.0,2.0,137.96948964497042,1,1.8140461055372596,5757,8,150,0,0,0,0,0,0,0,0,0,8909081,24,1547.5214521452144
200,id_1475,1477.0,4.5,313.0,5,2.0,5757,99,7,1,0,0,0,1,1,0,0,1,8909081,24,1547.5214521452144
201,id_72,73.0,4.0,779.0,4,2.0,1060,87,11,1,1,0,0,0,0,0,0,0,1208542,15,1140.133962264151
202,id_7996,8003.0,2.5,2.0,1,1.8140461055372596,3108,8,150,0,0,0,0,0,0,0,0,0,3223334,23,1037.1087516087516
203,id_3031,3033.0,4.5,4.0,5,2.0,2133,8,150,0,1,1,1,0,0,0,0,0,1399860,40,656.2869198312236
204,id_1810,1812.0,4.0,68.0,4,1.0,2155,105,21,1,0,0,0,1,0,0,0,1,3769495,8,1749.185614849188
205,id_451,452.0,3.0,178.0,5,2.0,301,88,12,0,1,0,0,0,0,1,0,0,437726,39,1454.2392026578073
